,Virginia,California,Florida,New York,New Jersey,Texas,Michigan,Massachusetts,Arizona,Washington,Colorado,Illinois,the District of Columbia,Nevada,Hawaii,New Hampshire,Utah,Georgia,Montana,Minnesota,Louisiana,Maryland,Pennsylvania,South Carolina,North Carolina,Vermont,Tennessee,Oregon,New Mexico,Rhode Island,Alaska,Maine,Alabama,Wisconsin,Arkansas,Mississippi,Indiana,West Virginia,Idaho,North Dakota,Connecticut,Kentucky,Missouri,Kansas,Delaware,Wyoming,Oklahoma,South Dakota,Nebraska,Iowa,Ohio
2001-09-01,140616.3893430922,231855.9068230531,121189.75019900687,175140.4267696781,198559.16844806215,113621.71943656141,130336.85557775036,243054.9773826436,146869.81713112557,190033.6946493071,210395.85775545417,144364.46404875768,188344.7818344411,167912.8643898315,213421.5510025901,165229.00700569907,178742.62389533137,138038.80878343515,,154506.2329459373,112488.64730077474,166936.82363037716,108171.33986281167,121482.65781595935,136246.83844251538,131543.10524642313,115793.87762496619,161194.61951338174,,155833.24173858782,163669.91377518701,127429.96626215748,105307.56769189844,130504.71209654583,93425.35898773746,92111.00561918142,103400.20294148433,79255.18770664396,129256.11469668591,,187193.56354102166,92088.29906586387,107554.97119982554,96716.24245395757,162784.36376033703,,88238.46679651925,110516.8103954835,109184.08356316603,98904.65425897994,114147.52301225271
2001-10-01,141662.87524364237,233905.9340600979,122297.2374396355,176470.46676842892,200833.25574052776,113774.69585121481,131013.9547056587,246286.8757405364,147530.10603858237,190839.9432798163,211697.75912710073,145831.21902480916,190625.70889783953,168901.09054406369,214800.7986594784,167074.10426448905,179008.09862053825,138724.49406108804,,156344.7204395897,112931.135632288,168168.55551653172,108679.82171970904,121795.92903149549,136632.5431352116,132385.66837786502,116160.2040601168,161761.17189303608,,158143.30084866277,164488.52256793182,128425.28988741618,105643.2708078047,131201.5618176053,93617.41519677867,92566.38694735225,103712.2791084986,79521.15834339442,129742.78960754658,,189310.48679275866,92376.173322397,108193.83489939454,97134.46819362116,163635.0593979345,,88549.76787465105,110728.71901543014,109411.06994985622,99343.6966760595,114556.32882822915
2001-11-01,142745.9421468311,235831.80592772106,123359.36026483301,177862.7903614176,202913.09994587244,113886.46615687589,131628.48363292668,249461.95553533547,148214.24729978447,191548.86825006176,212758.67152418187,146950.3823795168,192802.963431042,169824.65573445093,216025.2499363531,168854.10878607052,179202.10919492596,139345.9052009847,,158094.42389412262,113354.86813146296,169374.4560047585,109196.15786041973,122124.12660404351,136933.73874261367,133387.25979994892,116460.35649091714,162265.75171533096,,160208.93745186203,165428.25805193136,129606.30658761993,105972.43586675181,131864.3185829293,93749.68830239416,92907.8483088484,103955.77828873189,79681.6508477057,130052.1222835156,,191160.19110206128,92651.11355537454,108874.53092022035,97538.86077726452,164519.9930507775,,88806.43866918923,110981.33947801427,109634.57812271702,99768.09068393963,114925.75482969492
2001-12-01,143773.90441360397,237632.7449532652,124401.03704666166,179341.16211208198,204787.45030487046,113976.76352151297,132197.214243099,252450.86504679022,148853.93354088624,192415.34876126924,213591.95966352336,147778.52186040115,195011.1731923377,170780.8840042102,217116.6004665615,170618.3864881741,179289.65926451355,139925.1089608523,,159591.77649423174,113730.9429482239,170599.3956495812,109684.56994805338,122452.54923329876,137197.7543958337,134433.05200932358,116688.66924009607,162799.15272700437,,162223.70343106528,166487.69002655172,130753.80871231807,106216.94570888266,132500.65900951912,93827.60045999913,93177.02933839634,104287.66788147793,79792.65428127002,130325.53295514452,,192693.1551620661,92899.251799275,109565.45143464096,97953.693071214,165423.93618215332,,89035.05972542672,111149.2776012788,109878.42183829076,100202.90180108143,115259.85789402021
2002-01-01,144738.48024940965,239087.83295059725,125341.55522211,180800.78271876893,206541.39742710182,114007.57366534485,132784.73279999098,254881.38661832138,149388.86990540897,193147.54418690596,214064.81415268852,148350.20078073823,197127.4090725067,171644.284220761,217892.4315773364,172379.75310140135,179311.2950379702,140418.04384232787,,160835.09661233518,114017.39967478551,171831.18959177865,110170.52702290738,122702.61990902835,137418.96324919738,135524.03320014113,116852.73450459883,163310.28529991914,,163868.6990259767,167264.16166614258,132062.02206655033,106361.38648379031,133102.3329758989,93917.9960427311,93310.36679487233,104336.03795415326,79883.21524986047,130500.74637867107,,193904.04749597187,93105.29821892666,110195.55907144172,98346.55328249109,166346.6271436163,,89252.94998707231,111281.55723414391,110179.61595090228,100488.65621455417,115542.59143998742
2002-02-01,145694.74235825607,240575.47784543553,126211.54640830656,182125.9067452095,208347.5803918538,114092.98558396359,133288.15708254403,256963.36973828185,149873.25242588052,193860.64142565915,214488.90393322156,149018.8080944733,199249.856608151,172404.62723276045,218901.9558644281,174070.34961859102,179230.0426515093,140892.842383672,,161872.80933292446,114338.12333125774,173020.30500341812,110651.81771657556,122853.21669898671,137606.09018596762,136603.9048230507,117030.25868904211,163808.7810500725,,165567.10134322091,167885.61846575723,133382.28442963693,106517.38471610559,133659.4970649617,94062.19418674479,93355.44478468127,104322.64661368809,80088.08904813662,130756.72331115202,,195009.70303622252,93310.07968397217,110795.10305790992,98674.57741564572,167273.95761115954,,89521.64238052141,111755.22818150734,110468.75045905724,100676.79716681388,115774.64806862305
2002-03-01,146697.81589139838,242316.72866845972,127062.1400656666,183249.73761673516,210192.9831734906,114307.01573067525,133731.01859506793,259084.18878446324,150399.3207810238,194487.21020690972,215095.68991236063,149831.14560371055,201221.02468028237,173241.27574602157,220058.92400053437,175571.21355448992,179280.91177228044,141324.36209699104,,162829.71948555895,114711.0682736067,174214.18876890212,111153.63474368902,122984.06568951641,137784.14170910305,137717.71681090072,117214.11921039148,164296.55114257758,,167228.45834586132,168403.40247211992,134778.1789130163,106648.77297349415,134167.58962077994,94244.53193115506,93394.6389647791,104150.65112542741,80378.45533742021,130953.151346251,,196285.4209551751,93502.27346631644,111311.78648538726,98968.733600881,168263.56153703877,,89775.73926095145,112131.50934268597,110828.30446558814,100772.32297391216,115997.63931390796
2002-04-01,147831.36858308667,244666.28773504484,128019.21503727538,184357.5764330596,212052.56964444323,114683.3982136099,134055.53972053967,261341.60371888187,150983.65974104227,195060.5540341195,215883.31168134196,150589.60101636243,203509.4954314437,174194.90700330088,221542.1897482182,177164.0094366883,179409.03227924183,141785.01652894734,,163741.28134014693,115150.37233752727,175555.05964109604,111705.85121402483,123105.83036354817,137901.27499019087,138790.60050060603,117380.43957422957,164801.526592763,132838.40948532248,169135.493387836,169253.26460823024,136214.1342331609,106797.54196036083,134654.19885722917,94456.29701948403,93354.28471637204,104001.53912204607,80628.137882316,131166.33116334383,,197791.06863810398,93699.46697418636,111804.5020349425,99242.82330569584,169301.19348753706,148297.89760434267,90045.02403737737,112390.4314660272,111121.47058850934,101029.50417180324,116223.06237897176
2002-05-01,148998.74902248936,247409.6721901202,129069.31565069796,185538.54035034755,213981.54264289225,115126.82099101484,134386.8952844089,263778.8841947017,151576.72627190175,195562.85897731708,216773.3095846518,151393.89666531203,206085.55312556247,175270.4161867308,222852.9428470664,178691.21926108422,179520.8508582157,142254.93224470605,,164922.6532853516,115957.93678623387,177233.11706809854,112309.24378512047,123320.77397304347,138083.1014437607,139796.331961224,117566.06387266754,165441.35514032835,133064.0151132048,171355.9276724795,170016.1718217736,137581.79446816994,106986.92631178653,135167.72287309507,94730.39098229974,93459.59623202798,104037.33724556305,80840.86696492105,131403.05726202458,,199571.19898057566,93882.07641430666,112319.64816170318,99255.17053178237,170328.1372850635,146979.73286139342,90281.4926479042,112495.75880901371,111529.02788378764,101417.15630837677,116490.03357806026
2002-06-01,150288.16715028623,250453.4717844403,130167.25054654521,186909.8229147551,216147.3522424478,115623.6160116149,134753.52339785427,266312.60411611403,152243.6322164707,196012.38626441534,217527.0769851009,152187.17003000647,208947.85829568084,176177.3533073778,224297.57382548336,180399.25010677337,179619.9697602561,142736.24978520992,,166134.38656578588,116722.88856790359,179156.58052410543,112973.59302321362,123550.73118643758,138273.8214143154,140779.0975328425,117778.64098225573,166205.7750748706,133163.94796408352,173818.0060512952,170631.5220415178,139006.1236457477,107222.59695200226,135725.74983125413,95057.72381523362,93638.77138147222,104302.71745259641,81045.07501483177,131752.76913979635,,201601.9317075709,94085.2811848474,112913.61785398917,99186.0711755453,171421.87517706954,146379.08630657088,90523.17780629918,112854.27124774369,111852.43487438529,101922.55013990554,116788.92044308259
2002-07-01,151656.5825152799,253974.80546809218,131285.0516423697,188382.82196788187,218579.47408266502,116128.6027612199,135109.45615332658,269178.4192021172,152965.248358644,196582.89234559218,218259.00128852366,153140.97753528252,211746.8131787499,177006.04333451678,226061.3329938257,182121.83307714373,179716.3953142533,143190.42076787006,,167454.23007410063,117529.18508502317,181294.21170749344,113717.10906565691,123878.86718929117,138534.14917191197,141665.27860175795,118027.67422268953,167042.2644234807,133507.27234645956,176574.22150381887,171184.78739253344,140440.24066006058,107496.5343716652,136311.33469898277,95437.5861244244,93951.23276050184,104664.02532788874,81297.35622651938,132106.8099848271,,203764.54321057675,94338.02602817611,113558.39327608724,99088.36045342393,172543.98245813898,145461.67289430095,90781.48320077098,113284.53535575833,112208.42033842795,102375.07659585933,117137.98895724751
2002-08-01,153116.11271633636,257765.41885849822,132479.65300269393,190027.59748057637,221548.39326312908,116662.24973811877,135510.67299995603,272219.8625641624,153786.24028405233,197268.13037659694,218776.61744878034,154354.67973899402,214393.83267662977,177776.87049859043,228338.8662880345,184112.01171039106,179744.34358866364,143627.50427623955,,168650.85414626476,117680.26706759837,183486.29021951964,114556.26654514631,124195.91330133875,138792.55009475854,142484.29272716152,118255.96037579754,167737.68531350876,133881.60132474065,179829.17718964742,171758.98212905703,141793.7329647637,107742.80595536134,136966.97048489578,95769.83787948154,94233.93222657974,104852.69044455024,81590.87854788313,132435.1286738132,,205874.150040912,94616.02159217333,114152.17185763274,99068.06116620533,173756.9393410422,145545.01833075882,91055.55926653474,113681.83348681209,112514.27797020863,102772.0306888926,117502.13374938919
2002-09-01,154575.46279109057,261595.05164106376,133661.51366812983,191722.24508496476,224846.7778542193,117132.5766389871,135892.50539346377,275572.8550631471,154495.53373303878,197949.20198116792,219316.24811566668,155697.0439370667,217145.19204103682,178492.1643160116,231087.17936915343,186228.67920662777,179619.43606972139,144074.90577284957,,169894.5158519851,117793.56170087679,185630.54979627355,115427.09098681841,124512.23954206589,139053.29764471707,143196.90427293256,118493.74482264294,168341.46999097234,134327.02805679702,183694.94708907927,172386.9219815198,143089.75879305528,108004.24281000551,137643.23855497353,96110.41464029187,94563.99732713956,104888.49859293875,81883.89858001884,132750.64522817978,,207759.52665446326,94911.61493961692,114756.7971862629,99095.09515900764,174897.003545807,146136.80009369898,91352.37554828815,114185.80800249068,112846.46058708693,103080.26797237228,117868.8462782966
